,,,,,,,,
Programme,LIEN,NBLM,AUDIO,INFO,PDF,SLIDE,VIDEO,Suivi
049_DGT_B2_M05_S002 - La faisabilité économique et financière du business plan,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70344&themeId=109068,https://notebooklm.google.com/notebook/a39f3103-6354-432c-9156-b0413c01b5da,https://drive.google.com/file/d/1ohxiuz7kLafM5UiHP1nx7_oR02J56Aa5/view?usp=drivesdk,https://drive.google.com/file/d/1MYEpO1K-s3JtehwL9TzjD14yzF3Yiprm/view?usp=drivesdk,https://drive.google.com/file/d/1kvil52v7o65a-V7PugXuNtAbrxl47ofv/view?usp=drivesdk,https://docs.google.com/presentation/d/1BJZo73hvUxTu3UAx7TiLFmsK1vXj7rPP/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/1zpSPrgtFFuHrgx2-Q04e7xoo2OrkN7Pb/view?usp=drivesdk,"100,00%"
050_DGT_B2_M05_S003 - Quels chiffres dans un business plan ?,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70344&themeId=113870,,,,https://drive.google.com/file/d/1yk_KUNY-njsPnTlDIun34BIua1kW0Ymi/view?usp=drivesdk,,,"37,50%"
051_DGT_B2_M06_S001 - Présenter son Business Plan,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70345&themeId=113873,,,,https://drive.google.com/file/d/1LMSAqAXHPOK92w6m9bPNBh27IuqCnkrW/view?usp=drivesdk,,,"37,50%"
052_DGT_B2_M06_S002 - Soutenir son business plan,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70345&themeId=113874,,,,https://drive.google.com/file/d/16m-97BEsexMkXj-pxEXHUQ-Erk6m-2ZZ/view?usp=drivesdk,,,"37,50%"
053_DGT_B2_M06_S003 - La présentation écrite d'un projet,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70345&themeId=109164,,,,https://drive.google.com/file/d/1pSwwEbPEYyiXl3CYHI0XBo8Ss0BjIZFS/view?usp=drivesdk,,,"37,50%"
054_DGT_B2_M06_S004 - Des présentations de résultats impactantes,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70345&themeId=107130,,,,https://drive.google.com/file/d/1hWEyA0GwhYU3jo-bnODntwywzOH-1TSi/view?usp=drivesdk,,,"37,50%"
055_DGT_B3_M01_S001 - Guide du bloc Concevoir et mettre en œuvre une stratégie de communication interne/externe,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49476&moduleId=70347&themeId=129638,https://notebooklm.google.com/notebook/1a3e44a4-7c19-48ea-bf5c-7a7e3ac40bde,https://drive.google.com/file/d/1LBLlAi4wGD2weti8NmDwzoVI9GJmAChv/view?usp=drivesdk,https://drive.google.com/file/d/1SNJoHlPNR7SJXVBoJ5YYo65bg91mvII2/view?usp=drivesdk,https://drive.google.com/file/d/1U15qVR3JRRUgRc4wpAZf9F-WS0H8H-SA/view?usp=drivesdk,https://docs.google.com/presentation/d/1psJV7MIDW8ZVaID4rS27M2GD6txuFJGM/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/1DctpTnERghQij4wO8pZWNqF2hooSDlHE/view?usp=drivesdk,"100,00%"
056_DGT_B3_M02_S001 - La connaissance des cibles,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49476&moduleId=70348&themeId=110440,https://notebooklm.google.com/notebook/a7e4c47c-8348-4503-a5bc-26fdad7fc88f,https://drive.google.com/file/d/1_rJ14O9gdn1__YowGPGqL0CK-4HucDjm/view?usp=drivesdk,https://drive.google.com/file/d/1cMRo7dIigFBNeBD6Tsi-c9M1qEZ1Pkmo/view?usp=drivesdk,https://drive.google.com/file/d/1Pfn4a_Hkpr2eHKcfWS9UvMwwGJx6xd9Q/view?usp=drivesdk,https://docs.google.com/presentation/d/1nhbXeMJ-yVD0-x5K2cpB8qwLe7dKw9-K/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,,"87,50%"
057_DGT_B3_M02_S002 - Les objectifs de communication,,,,,https://drive.google.com/file/d/1R3tH_BV2QBXADZ1BCNkNmp1m2BGJGi80/view?usp=drivesdk,,,"25,00%"
058_DGT_B3_M02_S003 - Les cibles en fonction des différents réseaux sociaux,,,,,https://drive.google.com/file/d/12ol_umqpupuMVTqxC1iXV9yXHepjqrkG/view?usp=drivesdk,,,"25,00%"
